HES4
ISG15
AGRN
RNF223
C1orf159
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
C1QTNF12
UBE2J2
SCNN1D
ACAP3
PUSL1
INTS11
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
ANKRD65
TMEM88B
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
FNDC10
MIB2
